t,success,grasped,has_collided,joint_jerks,proprioception
0,False,False,False,1.2276721434926898,[-0.013  0.232  0.014 -2.119 -0.008  2.333  0.805 -0.001  0.    -0.001  0.001 -0.    -0.     0.001]
1,False,False,False,1.707805417009424,[-0.013  0.232  0.014 -2.119 -0.008  2.333  0.805 -0.     0.001 -0.001  0.    -0.    -0.     0.001]
2,False,False,False,48.813161533707074,[-0.014  0.232  0.016 -2.12  -0.008  2.335  0.805 -0.042 -0.001  0.04  -0.034 -0.015  0.037  0.001]
3,False,False,False,50.89514255044312,[-0.016  0.232  0.017 -2.121 -0.008  2.336  0.805 -0.044  0.003  0.036 -0.032 -0.005  0.04  -0.   ]
4,False,False,False,15.428981134161972,[-0.018  0.232  0.019 -2.123 -0.009  2.338  0.805 -0.049  0.001  0.039 -0.039 -0.015  0.035  0.   ]
5,False,False,False,16.005762877365168,[-0.02   0.232  0.02  -2.124 -0.009  2.339  0.805 -0.042  0.002  0.029 -0.038 -0.009  0.037  0.001]
6,False,False,False,13.74300896522789,[-0.022  0.232  0.021 -2.126 -0.01   2.341  0.805 -0.042  0.002  0.037 -0.035 -0.013  0.038 -0.   ]
7,False,False,False,9.295921276526588,[-0.023  0.232  0.023 -2.127 -0.01   2.342  0.805 -0.04   0.003  0.032 -0.036 -0.015  0.036  0.   ]
8,False,False,False,7.781893478633922,[-0.025  0.232  0.024 -2.129 -0.011  2.344  0.805 -0.045  0.001  0.026 -0.036 -0.014  0.041  0.   ]
9,False,False,False,16.529247537219874,[-0.027  0.232  0.025 -2.13  -0.011  2.345  0.805 -0.046  0.003  0.035 -0.039 -0.011  0.027  0.001]
10,False,False,False,14.520726074172753,[-0.029  0.232  0.027 -2.132 -0.012  2.347  0.805 -0.043  0.004  0.033 -0.036 -0.011  0.031  0.001]
11,False,False,False,6.205958365594074,[-0.03   0.232  0.028 -2.133 -0.012  2.348  0.805 -0.041  0.004  0.036 -0.039 -0.011  0.041 -0.001]
12,False,False,False,12.750892200680134,[-0.032  0.233  0.029 -2.135 -0.013  2.35   0.805 -0.048 -0.001  0.034 -0.041 -0.012  0.033 -0.001]
13,False,False,False,15.61851913425705,[-0.034  0.233  0.031 -2.137 -0.014  2.351  0.805 -0.042  0.007  0.03  -0.039 -0.021  0.04  -0.001]
14,False,False,False,15.5273155829059,[-0.036  0.233  0.032 -2.138 -0.014  2.353  0.805 -0.044  0.002  0.038 -0.038 -0.016  0.041  0.001]
15,False,False,False,10.453648830326978,[-0.038  0.233  0.034 -2.14  -0.015  2.355  0.805 -0.04  -0.     0.033 -0.039 -0.016  0.039 -0.   ]
16,False,False,False,13.18906382343113,[-0.04   0.233  0.035 -2.141 -0.015  2.356  0.805 -0.053  0.001  0.039 -0.039 -0.016  0.041 -0.001]
17,False,False,False,10.21814590566347,[-0.042  0.233  0.037 -2.143 -0.016  2.358  0.805 -0.053  0.005  0.042 -0.042 -0.011  0.038  0.001]
18,False,False,False,10.24331444115521,[-0.044  0.233  0.039 -2.145 -0.017  2.36   0.805 -0.045  0.002  0.036 -0.044 -0.011  0.043  0.   ]
