t,success,grasped,has_collided,joint_jerks,proprioception,trial time
0,False,False,False,1.3091624080604791,[-0.015  0.233  0.013 -2.116 -0.008  2.333  0.802  0.001  0.001 -0.    -0.     0.    -0.001  0.001],
1,False,False,False,20.069868088687738,[-0.015  0.233  0.013 -2.116 -0.008  2.333  0.802  0.022 -0.012 -0.004 -0.014  0.014 -0.01  -0.001],
2,False,False,False,76.37971461427513,[-0.008  0.232  0.008 -2.118 -0.006  2.334  0.802  0.143 -0.028 -0.061 -0.038  0.018  0.025  0.001],
3,False,False,False,98.33495592718262,[-0.005  0.231  0.005 -2.119 -0.005  2.334  0.802  0.127 -0.023 -0.116 -0.02   0.028 -0.005  0.001],
4,False,False,False,50.924455338980124,[ 0.001  0.23   0.    -2.12  -0.004  2.334  0.802  0.122 -0.027 -0.1   -0.026  0.032 -0.007 -0.002],
5,False,False,False,12.20052707812816,[ 0.006  0.229 -0.004 -2.121 -0.003  2.334  0.802  0.117 -0.028 -0.1   -0.029  0.029 -0.004 -0.001],
6,False,False,False,30.572083759472065,[ 0.01   0.228 -0.007 -2.122 -0.002  2.334  0.802  0.09  -0.032 -0.066 -0.038  0.038  0.021  0.   ],
7,False,False,False,67.74736095924189,[ 0.015  0.227 -0.011 -2.124 -0.     2.334  0.802  0.126 -0.026 -0.101 -0.03   0.011  0.011 -0.003],
8,False,False,False,32.4005500381964,[ 0.02   0.226 -0.015 -2.125  0.001  2.334  0.802  0.142 -0.016 -0.101 -0.031  0.013 -0.006  0.   ],
9,False,False,False,78.11502689408175,[ 0.025  0.225 -0.02  -2.126  0.002  2.334  0.802  0.06  -0.015 -0.129 -0.024  0.075  0.013  0.003],
10,False,False,False,135.8156055028585,[ 0.03   0.224 -0.024 -2.127  0.003  2.334  0.802  0.144 -0.007 -0.098 -0.024  0.016  0.    -0.001],
11,False,False,False,95.10909592899266,[ 0.035  0.223 -0.028 -2.128  0.004  2.334  0.802  0.116 -0.024 -0.112 -0.024  0.043  0.003  0.   ],
12,False,False,False,42.2686622391732,[ 0.04   0.223 -0.032 -2.13   0.005  2.335  0.802  0.127 -0.024 -0.101 -0.029  0.026  0.012 -0.001],
13,False,False,False,17.751349368012676,[ 0.045  0.222 -0.037 -2.131  0.007  2.335  0.802  0.123 -0.021 -0.1   -0.03   0.023  0.005  0.   ],
14,False,False,False,8.281513209051253,[ 0.051  0.221 -0.042 -2.132  0.008  2.335  0.802  0.13  -0.022 -0.106 -0.031  0.023  0.001 -0.001],
15,False,False,False,10.300861703534661,[ 0.055  0.22  -0.046 -2.133  0.009  2.335  0.802  0.124 -0.024 -0.109 -0.033  0.031  0.003  0.001],
16,False,False,False,29.606564941827223,[ 0.06   0.219 -0.05  -2.135  0.01   2.335  0.802  0.095 -0.01  -0.075 -0.027  0.032 -0.003  0.   ],
17,False,False,False,58.39143788992617,[ 0.066  0.218 -0.054 -2.136  0.011  2.335  0.802  0.116 -0.029 -0.111 -0.033  0.021  0.001 -0.001],
18,False,False,False,33.42093418950092,[ 0.071  0.218 -0.059 -2.137  0.013  2.335  0.802  0.136 -0.013 -0.113 -0.029  0.03   0.012 -0.   ],
19,False,False,False,45.76308910797675,[ 0.076  0.217 -0.063 -2.138  0.014  2.335  0.802  0.1   -0.025 -0.087 -0.032  0.032 -0.001  0.001],
20,False,False,False,46.68916716196303,[ 0.078  0.216 -0.065 -2.139  0.014  2.335  0.802  0.08  -0.017 -0.11  -0.022  0.08  -0.    -0.   ],
21,False,False,False,80.14432813738756,[ 0.086  0.216 -0.072 -2.14   0.016  2.335  0.802  0.124 -0.006 -0.095 -0.021  0.023 -0.001 -0.001],
22,False,False,False,68.65335399305663,[ 0.092  0.215 -0.076 -2.141  0.018  2.335  0.802  0.141 -0.005 -0.062 -0.014  0.069 -0.02   0.001],
23,False,False,False,101.64000510451122,[ 0.096  0.214 -0.08  -2.142  0.018  2.336  0.802  0.17  -0.004 -0.104 -0.033 -0.014  0.019 -0.003],
24,False,False,False,57.769765374525605,[ 0.102  0.213 -0.085 -2.143  0.019  2.336  0.802  0.222 -0.006 -0.097 -0.04  -0.037  0.014 -0.002],
25,False,False,False,95.14409140600426,[ 0.107  0.213 -0.089 -2.144  0.021  2.336  0.802  0.142  0.006 -0.086 -0.023  0.012  0.006  0.001],
26,False,False,False,50.15714303761139,[ 0.111  0.212 -0.093 -2.145  0.022  2.336  0.802  0.115 -0.015 -0.114 -0.02   0.031 -0.003 -0.001],
27,False,False,False,42.045571908325044,[ 0.117  0.211 -0.098 -2.146  0.023  2.336  0.802  0.134 -0.015 -0.113 -0.029  0.022 -0.     0.001],
28,False,False,False,18.707204877048518,[ 0.122  0.211 -0.102 -2.147  0.024  2.336  0.802  0.131 -0.018 -0.111 -0.029  0.03  -0.     0.   ],
29,False,False,False,26.563739436290025,[ 0.127  0.21  -0.107 -2.148  0.025  2.336  0.802  0.096 -0.01  -0.092 -0.03   0.054 -0.001 -0.009],
30,False,False,False,58.32909292731201,[ 0.133  0.209 -0.112 -2.149  0.026  2.336  0.802  0.117 -0.027 -0.12  -0.036  0.029  0.003 -0.001],
31,False,False,False,40.625412312241096,[ 0.138  0.209 -0.117 -2.15   0.027  2.336  0.802  0.127 -0.018 -0.111 -0.02   0.041 -0.007 -0.   ],
32,False,False,False,22.45563798463772,[ 0.144  0.208 -0.121 -2.151  0.029  2.336  0.802  0.134 -0.018 -0.114 -0.023  0.031 -0.002 -0.   ],
33,False,False,False,8.682000267733493,[ 0.149  0.208 -0.125 -2.152  0.029  2.336  0.802  0.14  -0.008 -0.112 -0.03   0.028  0.001  0.001],
34,False,False,False,29.664157437367603,[ 0.154  0.207 -0.129 -2.153  0.031  2.336  0.802  0.17   0.011 -0.078 -0.022  0.024  0.017  0.012],
35,False,False,False,89.25597191061341,[ 0.159  0.206 -0.134 -2.154  0.032  2.336  0.802  0.115 -0.025 -0.118 -0.022  0.055 -0.019 -0.002],
36,False,False,False,76.45674488202239,[ 0.164  0.206 -0.139 -2.155  0.033  2.336  0.802  0.084 -0.009 -0.079 -0.021  0.023 -0.02  -0.   ],
37,False,False,False,66.80818813461934,[ 0.17   0.206 -0.143 -2.156  0.034  2.336  0.802  0.112 -0.031 -0.11  -0.027 -0.007  0.015 -0.002],
38,False,False,False,64.81235256521029,[ 0.175  0.205 -0.147 -2.156  0.035  2.336  0.802  0.121 -0.001 -0.095 -0.015  0.016  0.003  0.   ],
39,False,False,False,31.980986519713568,[ 0.179  0.205 -0.151 -2.157  0.036  2.336  0.802  0.117 -0.01  -0.107 -0.012  0.038 -0.006 -0.001],
40,False,False,False,23.64314583666446,[ 0.184  0.205 -0.156 -2.157  0.037  2.336  0.802  0.117 -0.008 -0.107 -0.012  0.029 -0.    -0.001],
41,False,False,False,9.061737316210529,[ 0.189  0.204 -0.16  -2.158  0.038  2.336  0.802  0.112 -0.012 -0.106 -0.015  0.029 -0.001 -0.   ],
42,False,False,False,12.736068454997367,[ 0.194  0.204 -0.164 -2.158  0.039  2.336  0.802  0.124 -0.011 -0.1   -0.011  0.026 -0.    -0.001],
43,False,False,False,15.528488362284397,[ 0.199  0.204 -0.168 -2.159  0.04   2.336  0.802  0.115 -0.006 -0.091 -0.014  0.032 -0.001  0.001],
44,False,False,False,40.301314231357445,[ 0.203  0.203 -0.172 -2.159  0.041  2.336  0.802  0.056 -0.025 -0.063 -0.042  0.03  -0.007 -0.   ],
45,False,False,False,129.0930667566199,[ 0.208  0.203 -0.176 -2.16   0.042  2.336  0.802  0.176  0.028 -0.073 -0.015 -0.004  0.002  0.008],
46,False,False,False,121.6718052839643,[ 0.214  0.203 -0.181 -2.161  0.043  2.336  0.802  0.13   0.001 -0.104 -0.015  0.016  0.011 -0.001],
47,False,False,False,72.12904554705273,[ 0.219  0.203 -0.185 -2.161  0.044  2.336  0.802  0.174 -0.    -0.105 -0.03  -0.023  0.012  0.003],
48,False,False,False,85.90897681084095,[ 0.223  0.203 -0.189 -2.162  0.045  2.335  0.802  0.119 -0.007 -0.097 -0.012  0.025 -0.008 -0.   ],
49,False,False,False,45.76040369733101,[ 0.228  0.202 -0.193 -2.162  0.046  2.335  0.802  0.111 -0.01  -0.101 -0.013  0.025 -0.012 -0.002],
50,False,False,False,16.706467876497577,[ 0.233  0.202 -0.197 -2.162  0.047  2.335  0.802  0.124 -0.006 -0.104 -0.012  0.021 -0.002 -0.   ],
51,False,False,False,11.568771519623287,[ 0.238  0.202 -0.201 -2.163  0.048  2.335  0.802  0.127 -0.013 -0.109 -0.015  0.023 -0.    -0.   ],
52,False,False,False,59.80804254568282,[ 0.243  0.202 -0.205 -2.163  0.049  2.335  0.802  0.182  0.019 -0.057 -0.008  0.002  0.034  0.005],
53,False,False,False,151.66680429083317,[ 0.247  0.202 -0.209 -2.164  0.05   2.335  0.802  0.067 -0.061 -0.125 -0.028  0.008  0.031 -0.004],
54,False,False,False,166.09334282807765,[ 0.252  0.202 -0.213 -2.164  0.051  2.335  0.802  0.14   0.012 -0.102 -0.005  0.028 -0.013  0.002],
55,False,False,False,84.46603791961125,[ 0.257  0.201 -0.218 -2.165  0.052  2.335  0.802  0.123  0.012 -0.103 -0.007  0.02  -0.002 -0.001],
56,False,False,False,67.7699960997569,[ 0.261  0.201 -0.222 -2.165  0.053  2.335  0.802  0.042 -0.006 -0.033 -0.003  0.049 -0.022 -0.006],
57,False,False,False,121.12103254037541,[ 0.266  0.201 -0.226 -2.165  0.054  2.335  0.802  0.081  0.013 -0.068 -0.016 -0.001  0.023  0.002],
58,False,False,False,88.0942416171079,[ 0.271  0.201 -0.23  -2.166  0.055  2.335  0.802  0.083 -0.013 -0.172 -0.015  0.027 -0.005  0.002],
59,False,False,False,148.8649038098338,[ 0.277  0.201 -0.235 -2.166  0.056  2.334  0.802  0.219  0.032 -0.124 -0.008 -0.029  0.022 -0.   ],
60,False,False,False,194.59049839350902,[ 0.281  0.2   -0.239 -2.167  0.057  2.334  0.802  0.092  0.005 -0.063  0.007  0.049 -0.011  0.   ],
