t,success,grasped,has_collided,joint_jerks,proprioception
0,False,False,False,0.6787140652303724,[-0.015  0.231  0.014 -2.119 -0.008  2.334  0.801  0.     0.    -0.     0.001 -0.    -0.     0.   ]
1,False,False,False,2.9203280869567014,[-0.015  0.231  0.014 -2.119 -0.008  2.334  0.801 -0.     0.001 -0.002 -0.001 -0.     0.003 -0.001]
2,False,False,False,7.139075816077852,[-0.015  0.232  0.014 -2.119 -0.008  2.335  0.801  0.002  0.004  0.004 -0.006  0.004  0.011 -0.003]
3,False,False,False,30.209187843596375,[-0.015  0.232  0.014 -2.119 -0.008  2.335  0.801  0.011  0.031  0.014  0.01   0.011 -0.016 -0.005]
4,False,False,False,54.812474917997726,[-0.014  0.233  0.015 -2.12  -0.008  2.335  0.8    0.01   0.012  0.014 -0.011 -0.016  0.01  -0.005]
5,False,False,False,34.00263242138122,[-0.014  0.233  0.015 -2.12  -0.008  2.336  0.8    0.009  0.012  0.011 -0.002 -0.01   0.012 -0.005]
6,False,False,False,13.66930606222901,[-0.013  0.233  0.016 -2.121 -0.009  2.336  0.8    0.009  0.007  0.005 -0.014 -0.011  0.013 -0.006]
7,False,False,False,13.66635721737878,[-0.013  0.234  0.016 -2.121 -0.009  2.336  0.799  0.009  0.014  0.009 -0.012 -0.009  0.008 -0.011]
8,False,False,False,6.459734949547057,[-0.013  0.235  0.016 -2.121 -0.009  2.337  0.799  0.009  0.016  0.005 -0.01  -0.004  0.006 -0.015]
9,False,False,False,10.080410809209948,[-0.012  0.235  0.016 -2.122 -0.01   2.337  0.799  0.009  0.019  0.001 -0.007 -0.008  0.009 -0.008]
10,False,False,False,13.105824157691957,[-0.012  0.236  0.017 -2.122 -0.01   2.338  0.798  0.007  0.012  0.009 -0.01  -0.01   0.003 -0.008]
11,False,False,False,15.096140793567134,[-0.012  0.236  0.017 -2.123 -0.01   2.338  0.798  0.008  0.013  0.007 -0.008 -0.001  0.014 -0.007]
12,False,False,False,16.21115723815643,[-0.011  0.237  0.017 -2.123 -0.011  2.338  0.797  0.006  0.013  0.006 -0.014 -0.012  0.012 -0.011]
13,False,False,False,10.547458553878625,[-0.011  0.237  0.018 -2.123 -0.011  2.339  0.797  0.005  0.012  0.005 -0.013 -0.009  0.013 -0.011]
14,False,False,False,8.608599500581699,[-0.011  0.238  0.018 -2.124 -0.011  2.339  0.797  0.011  0.017  0.007 -0.012 -0.014  0.011 -0.011]
15,False,False,False,6.956916564112211,[-0.01   0.238  0.018 -2.124 -0.012  2.339  0.796  0.01   0.013  0.011 -0.01  -0.017  0.012 -0.011]
16,False,False,False,13.309626993335472,[-0.01   0.239  0.019 -2.125 -0.012  2.34   0.796  0.01   0.01   0.009 -0.013 -0.     0.009 -0.015]
17,False,False,False,23.288451634903524,[-0.01   0.239  0.019 -2.125 -0.012  2.34   0.795  0.011  0.014  0.007 -0.011 -0.018  0.015 -0.007]
18,False,False,False,19.671912714360346,[-0.009  0.24   0.019 -2.126 -0.013  2.341  0.795  0.011  0.014  0.01  -0.011 -0.01   0.008 -0.013]
19,False,False,False,16.38744662540078,[-0.009  0.241  0.02  -2.126 -0.013  2.341  0.794  0.011  0.021  0.004 -0.01  -0.014  0.02  -0.013]
20,False,False,False,16.8735261712241,[-0.008  0.241  0.02  -2.126 -0.014  2.342  0.794  0.01   0.022  0.009 -0.009 -0.007  0.013 -0.012]
21,False,False,False,8.39215468931914,[-0.008  0.242  0.02  -2.127 -0.014  2.342  0.794  0.008  0.016  0.01  -0.01  -0.009  0.01  -0.011]
22,False,False,False,3.5610486695716532,[-0.008  0.243  0.021 -2.127 -0.014  2.343  0.793  0.01   0.013  0.009 -0.007 -0.009  0.007 -0.012]
23,False,False,False,5.759515737337635,[-0.007  0.243  0.021 -2.128 -0.015  2.343  0.793  0.013  0.012  0.01  -0.009 -0.01   0.01  -0.018]
24,False,False,False,10.95457255511063,[-0.007  0.244  0.022 -2.128 -0.015  2.344  0.792  0.012  0.016  0.009 -0.015 -0.009  0.009 -0.01 ]
25,False,False,False,11.653885418458529,[-0.006  0.245  0.022 -2.129 -0.016  2.344  0.792  0.007  0.014  0.007 -0.007 -0.012  0.012 -0.011]
26,False,False,False,11.909119470772806,[-0.006  0.245  0.023 -2.129 -0.016  2.345  0.791  0.011  0.02   0.009 -0.011 -0.007  0.02  -0.012]
27,False,False,False,17.41176527077401,[-0.005  0.246  0.023 -2.13  -0.017  2.345  0.79   0.006  0.014  0.016 -0.014 -0.012  0.007 -0.012]
28,False,False,False,14.673894206435158,[-0.005  0.247  0.023 -2.13  -0.017  2.346  0.79   0.012  0.015  0.014 -0.013 -0.016  0.011 -0.012]
29,False,False,False,7.1134226572940085,[-0.004  0.247  0.024 -2.131 -0.018  2.346  0.789  0.012  0.015  0.009 -0.016 -0.015  0.012 -0.016]
30,False,False,False,8.700525059938977,[-0.004  0.248  0.024 -2.131 -0.018  2.347  0.789  0.009  0.017  0.011 -0.01  -0.013  0.014 -0.014]
31,False,False,False,11.206584656202313,[-0.003  0.249  0.025 -2.132 -0.019  2.347  0.788  0.014  0.015  0.011 -0.014 -0.01   0.007 -0.021]
32,False,False,False,11.215313386699492,[-0.003  0.25   0.025 -2.133 -0.019  2.348  0.788  0.01   0.016  0.012 -0.013 -0.014  0.009 -0.016]
