t,success,grasped,has_collided,joint_jerks,proprioception,trial time
0,False,False,False,1.158960015814593,[-0.013  0.231  0.014 -2.119 -0.007  2.334  0.804  0.001  0.     0.001  0.     0.     0.     0.001],
1,False,False,False,2.9832596014853094,[-0.013  0.231  0.014 -2.119 -0.007  2.334  0.804 -0.001 -0.001 -0.     0.    -0.     0.    -0.001],
2,False,False,False,68.09154031618803,[-0.013  0.233  0.014 -2.117 -0.007  2.334  0.803  0.02   0.073 -0.006  0.061 -0.003  0.038 -0.028],
3,False,False,False,153.67815571237267,[-0.012  0.234  0.014 -2.115 -0.007  2.334  0.802  0.025 -0.05  -0.007  0.024 -0.008 -0.028 -0.023],
4,False,False,False,148.4187976181538,[-0.011  0.237  0.014 -2.113 -0.006  2.334  0.801  0.032  0.038  0.002  0.027  0.016  0.001 -0.024],
5,False,False,False,57.55119142809137,[-0.01   0.239  0.014 -2.112 -0.006  2.334  0.8    0.019  0.057 -0.008  0.025 -0.006  0.048 -0.044],
6,False,False,False,70.76986231332782,[-0.009  0.242  0.014 -2.11  -0.006  2.334  0.799  0.024  0.061 -0.004  0.047  0.015  0.004 -0.028],
7,False,False,False,34.326426918213706,[-0.008  0.244  0.014 -2.108 -0.005  2.334  0.798  0.025  0.055 -0.004  0.04   0.014 -0.004 -0.029],
8,False,False,False,12.030471641794245,[-0.007  0.246  0.014 -2.106 -0.005  2.334  0.797  0.023  0.051 -0.001  0.045  0.008 -0.001 -0.023],
9,False,False,False,11.951521054706404,[-0.006  0.249  0.014 -2.104 -0.004  2.334  0.796  0.021  0.056 -0.     0.042  0.014 -0.002 -0.02 ],
10,False,False,False,13.22718209420794,[-0.005  0.251  0.014 -2.102 -0.004  2.334  0.795  0.015  0.051 -0.001  0.048  0.011 -0.001 -0.029],
11,False,False,False,16.482435408002836,[-0.004  0.253  0.014 -2.1   -0.004  2.334  0.794  0.024  0.053 -0.001  0.038  0.017 -0.002 -0.032],
12,False,False,False,14.74813063897052,[-0.003  0.256  0.014 -2.099 -0.003  2.334  0.793  0.02   0.054 -0.     0.035  0.012  0.006 -0.026],
13,False,False,False,16.402867578666335,[-0.003  0.257  0.014 -2.098 -0.003  2.334  0.792  0.028  0.064  0.006  0.044  0.007 -0.001 -0.023],
14,False,False,False,16.295049996819966,[-0.001  0.26   0.014 -2.095 -0.003  2.334  0.791  0.028  0.059  0.003  0.04   0.002  0.003 -0.023],
15,False,False,False,9.939697188332397,[-0.     0.263  0.014 -2.093 -0.002  2.334  0.79   0.024  0.054  0.001  0.049  0.004  0.005 -0.02 ],
16,False,False,False,8.961024250962234,[ 0.001  0.265  0.015 -2.091 -0.002  2.335  0.789  0.021  0.058  0.002  0.052  0.001  0.007 -0.026],
17,False,False,False,12.506294683691847,[ 0.002  0.267  0.015 -2.089 -0.002  2.335  0.788  0.023  0.06   0.01   0.05   0.009  0.019 -0.022],
18,False,False,False,23.914528837841175,[ 0.003  0.27   0.015 -2.088 -0.002  2.336  0.787  0.019  0.064 -0.     0.037  0.005  0.001 -0.017],
19,False,False,False,22.185147773615743,[ 0.004  0.272  0.015 -2.086 -0.001  2.336  0.786  0.023  0.06  -0.001  0.048  0.012  0.001 -0.021],
20,False,False,False,13.140130714543597,[ 0.004  0.275  0.015 -2.084 -0.001  2.335  0.785  0.022  0.056 -0.001  0.041  0.01  -0.003 -0.025],
21,False,False,False,31.587100361198132,[ 0.005  0.277  0.014 -2.083 -0.     2.335  0.784  0.017  0.086 -0.008  0.058  0.028  0.005 -0.012],
22,False,False,False,55.31226610233164,[ 0.006  0.279  0.014 -2.081  0.     2.335  0.783  0.028  0.054 -0.009  0.04   0.007 -0.012 -0.018],
23,False,False,False,39.79574025968217,[ 0.007  0.282  0.013 -2.079  0.001  2.334  0.782  0.023  0.066 -0.012  0.042  0.015 -0.006 -0.019],
24,False,False,False,14.895400329639887,[ 0.008  0.284  0.013 -2.077  0.002  2.334  0.782  0.021  0.06  -0.015  0.039  0.016 -0.012 -0.026],
25,False,False,False,13.17683569400348,[ 0.009  0.287  0.012 -2.075  0.002  2.333  0.781  0.022  0.06  -0.012  0.041  0.005 -0.008 -0.02 ],
26,False,False,False,12.6236816262072,[ 0.01   0.29   0.012 -2.074  0.003  2.333  0.78   0.028  0.058 -0.013  0.042  0.011 -0.011 -0.02 ],
27,False,False,False,13.437103193176284,[ 0.011  0.292  0.011 -2.072  0.003  2.333  0.779  0.018  0.064 -0.019  0.04   0.01  -0.013 -0.011],
28,False,False,False,19.39130950532703,[ 0.012  0.295  0.011 -2.07   0.004  2.332  0.778  0.025  0.062 -0.018  0.04   0.008  0.    -0.022],
29,False,False,False,15.964905041830901,[ 0.013  0.297  0.01  -2.069  0.004  2.332  0.777  0.025  0.063 -0.004  0.041  0.004  0.    -0.016],
30,False,False,False,18.452532529152208,[ 0.014  0.3    0.01  -2.067  0.004  2.332  0.777  0.028  0.062 -0.01   0.042  0.007  0.001 -0.031],
31,False,False,False,13.770007779118137,[ 0.015  0.303  0.01  -2.065  0.005  2.332  0.776  0.022  0.061 -0.009  0.044  0.013 -0.001 -0.028],
32,False,False,False,11.631636746250718,[ 0.016  0.305  0.01  -2.063  0.005  2.332  0.775  0.019  0.062 -0.003  0.047  0.001  0.    -0.02 ],
33,False,False,False,12.418639500390672,[ 0.017  0.307  0.01  -2.061  0.005  2.332  0.774  0.022  0.061 -0.002  0.044  0.001 -0.001 -0.026],
34,False,False,False,44.958335862795636,[ 0.018  0.31   0.01  -2.06   0.005  2.333  0.773  0.026  0.021  0.005  0.038  0.046 -0.031 -0.008],
35,False,False,False,87.48768712472001,[ 0.019  0.313  0.01  -2.058  0.006  2.333  0.772  0.017  0.057 -0.007  0.042  0.001  0.    -0.022],
36,False,False,False,42.488539584925206,[ 0.02   0.315  0.01  -2.056  0.006  2.333  0.771  0.026  0.06  -0.008  0.04  -0.002  0.004 -0.017],
37,False,False,False,40.704208001292116,[ 0.021  0.318  0.009 -2.054  0.006  2.333  0.77   0.018  0.005 -0.01   0.025  0.017  0.006 -0.018],
38,False,False,False,72.63041782073691,[ 0.022  0.319  0.009 -2.053  0.006  2.333  0.77   0.037  0.055 -0.017  0.036  0.001  0.003 -0.012],
39,False,False,False,43.057840320281876,[ 0.023  0.323  0.008 -2.051  0.007  2.332  0.769  0.027  0.046 -0.022  0.026 -0.013 -0.004 -0.012],
40,False,False,False,35.886941775466624,[ 0.024  0.325  0.007 -2.05   0.007  2.332  0.769  0.018  0.066 -0.021  0.041  0.012 -0.001 -0.02 ],
41,False,False,False,32.01936197917888,[ 0.025  0.327  0.006 -2.048  0.007  2.332  0.768  0.022  0.056 -0.019  0.039  0.007 -0.007 -0.01 ],
42,False,False,False,10.15927453934869,[ 0.026  0.33   0.005 -2.046  0.008  2.331  0.768  0.023  0.054 -0.015  0.036  0.011 -0.015 -0.012],
43,False,False,False,54.27224577445246,[ 0.027  0.333  0.004 -2.044  0.008  2.331  0.767  0.026 -0.029 -0.013  0.028  0.007  0.006 -0.005],
44,False,False,False,107.5342212492609,[ 0.027  0.335  0.004 -2.043  0.008  2.33   0.766  0.02   0.044 -0.009  0.058  0.01  -0.032 -0.014],
45,False,False,False,64.15391705954102,[ 0.028  0.338  0.003 -2.041  0.009  2.33   0.765  0.023  0.06  -0.008  0.038  0.005 -0.003 -0.021],
46,False,False,False,40.38687867951092,[ 0.029  0.34   0.003 -2.04   0.009  2.33   0.765  0.023  0.076 -0.006  0.049  0.024 -0.022 -0.013],
47,False,False,False,44.780967845495674,[ 0.03   0.343  0.002 -2.038  0.009  2.33   0.764  0.018  0.055 -0.018  0.04   0.001 -0.005 -0.013],
48,False,False,False,28.29542759555235,[ 0.031  0.345  0.002 -2.036  0.009  2.33   0.763  0.02   0.058 -0.013  0.048  0.001 -0.005 -0.017],
49,False,False,False,11.013532345723831,[ 0.032  0.348  0.001 -2.034  0.009  2.33   0.762  0.019  0.063 -0.01   0.042  0.006 -0.    -0.019],
50,False,False,False,13.735635157925142,[ 0.032  0.35   0.001 -2.033  0.009  2.329  0.762  0.015  0.059 -0.009  0.039 -0.001 -0.009 -0.018],
51,False,False,False,11.711541654109576,[ 0.033  0.353  0.    -2.031  0.009  2.329  0.761  0.015  0.061 -0.016  0.041  0.002 -0.007 -0.016],
52,False,False,False,9.898290024840733,[ 0.034  0.355 -0.    -2.03   0.009  2.329  0.76   0.016  0.061 -0.009  0.041  0.002  0.001 -0.014],
53,False,False,False,9.344218141713625,[ 0.035  0.357 -0.001 -2.028  0.009  2.329  0.76   0.021  0.059 -0.011  0.039  0.002 -0.001 -0.011],
54,False,False,False,11.444965633669185,[ 0.035  0.36  -0.001 -2.026  0.01   2.329  0.759  0.018  0.063 -0.006  0.037  0.001  0.009 -0.014],
55,False,False,False,17.314559664743793,[ 0.036  0.363 -0.001 -2.025  0.01   2.329  0.758  0.015  0.063 -0.013  0.034 -0.    -0.006 -0.018],
56,False,False,False,13.779078995954292,[ 0.037  0.365 -0.002 -2.023  0.01   2.328  0.758  0.016  0.065 -0.01   0.043  0.    -0.007 -0.016],
57,False,False,False,13.232158181747623,[ 0.038  0.368 -0.002 -2.022  0.01   2.328  0.757  0.019  0.059 -0.017  0.038  0.003 -0.003 -0.015],
58,False,False,False,13.176000748970518,[ 0.038  0.37  -0.003 -2.02   0.01   2.328  0.757  0.012  0.063 -0.016  0.037 -0.    -0.007 -0.016],
59,False,False,False,18.271316622609174,[ 0.039  0.373 -0.004 -2.019  0.01   2.328  0.756  0.026  0.056 -0.015  0.03  -0.008  0.    -0.009],
60,False,False,False,25.91609537601709,[ 0.04   0.376 -0.004 -2.017  0.01   2.328  0.755  0.013  0.061 -0.008  0.034  0.002 -0.003 -0.018],
61,False,False,False,15.23283121088267,[ 0.041  0.379 -0.004 -2.016  0.01   2.328  0.755  0.008  0.062 -0.012  0.033  0.    -0.    -0.013],
62,False,False,False,10.65819230151334,[ 0.041  0.381 -0.005 -2.014  0.01   2.328  0.754  0.016  0.061 -0.01   0.036  0.001  0.001 -0.017],
63,False,False,False,8.748594870567237,[ 0.042  0.383 -0.005 -2.013  0.01   2.328  0.754  0.014  0.055 -0.014  0.037  0.     0.001 -0.018],
64,False,False,False,12.051973836737622,[ 0.042  0.385 -0.006 -2.012  0.01   2.328  0.753  0.018  0.065 -0.017  0.033 -0.    -0.004 -0.012],
65,False,False,False,11.150351407099064,[ 0.043  0.389 -0.007 -2.01   0.01   2.328  0.753  0.014  0.067 -0.013  0.037  0.001 -0.    -0.01 ],
66,False,False,False,10.714430843669607,[ 0.044  0.392 -0.007 -2.009  0.01   2.328  0.752  0.013  0.062 -0.014  0.029  0.001 -0.002 -0.012],
67,False,False,False,11.316457618143744,[ 0.045  0.394 -0.008 -2.007  0.01   2.328  0.752  0.018  0.057 -0.018  0.036  0.001  0.    -0.009],
68,False,False,False,29.961075469235368,[ 0.045  0.396 -0.008 -2.006  0.01   2.328  0.751  0.012  0.042 -0.016  0.021  0.001 -0.038 -0.002],
69,False,False,False,55.123832183678005,[ 0.046  0.399 -0.009 -2.005  0.01   2.328  0.751  0.022  0.06  -0.017  0.025 -0.017 -0.002 -0.013],
70,False,False,False,38.84366031752514,[ 0.046  0.402 -0.01  -2.003  0.01   2.328  0.75   0.015  0.059 -0.017  0.034  0.    -0.007 -0.007],
71,False,False,False,17.0353339642195,[ 0.047  0.404 -0.01  -2.002  0.01   2.328  0.75   0.012  0.061 -0.018  0.027  0.004  0.001 -0.012],
72,False,False,False,13.266663294142793,[ 0.047  0.407 -0.011 -2.     0.01   2.328  0.749  0.016  0.056 -0.015  0.027 -0.004 -0.001 -0.009],
73,False,False,False,16.421172178415684,[ 0.048  0.409 -0.011 -1.999  0.009  2.328  0.749  0.01   0.069 -0.017  0.037 -0.001  0.    -0.013],
74,False,False,False,18.025677879246302,[ 0.049  0.412 -0.012 -1.998  0.009  2.328  0.749  0.017  0.063 -0.017  0.029 -0.001 -0.001 -0.013],
75,False,False,False,10.57297334798727,[ 0.049  0.415 -0.012 -1.996  0.009  2.328  0.748  0.012  0.06  -0.014  0.033 -0.001 -0.001 -0.017],
