t,success,grasped,has_collided,joint_jerks,proprioception
0,False,False,False,0.8547569245660376,[-0.017  0.231  0.015 -2.118 -0.007  2.337  0.799  0.001  0.001  0.     0.     0.     0.     0.001]
1,False,False,False,1.3445339163951138,[-0.017  0.231  0.015 -2.118 -0.007  2.337  0.799  0.001  0.     0.001 -0.     0.     0.    -0.   ]
2,False,False,False,1.8037901527346716,[-0.017  0.231  0.015 -2.118 -0.007  2.337  0.799 -0.    -0.001  0.    -0.     0.    -0.     0.001]
3,False,False,False,4.321679565206274,[-0.017  0.231  0.015 -2.118 -0.007  2.337  0.799  0.     0.001  0.001  0.001 -0.     0.    -0.002]
4,False,False,False,5.818214979224828,[-0.017  0.231  0.015 -2.119 -0.007  2.337  0.799  0.004  0.003 -0.    -0.006  0.    -0.    -0.004]
5,False,False,False,8.850407253102357,[-0.017  0.231  0.015 -2.119 -0.008  2.337  0.799  0.001  0.008  0.    -0.003  0.    -0.    -0.012]
6,False,False,False,11.782038432837922,[-0.017  0.231  0.015 -2.119 -0.008  2.337  0.799  0.004  0.012  0.001 -0.009  0.001 -0.    -0.004]
7,False,False,False,4.8560523777063835,[-0.016  0.232  0.016 -2.119 -0.008  2.337  0.798  0.009  0.01   0.001 -0.011 -0.    -0.002 -0.   ]
8,False,False,False,11.215930737909575,[-0.016  0.232  0.016 -2.12  -0.008  2.337  0.798  0.003  0.008  0.002 -0.012 -0.001 -0.007 -0.01 ]
9,False,False,False,8.361947885259582,[-0.016  0.232  0.016 -2.12  -0.008  2.336  0.798  0.     0.011  0.003 -0.011 -0.001 -0.005 -0.01 ]
10,False,False,False,7.4741507744727285,[-0.016  0.233  0.016 -2.121 -0.008  2.336  0.797  0.001  0.008 -0.001 -0.013 -0.004 -0.001 -0.015]
11,False,False,False,12.96995523649981,[-0.016  0.233  0.016 -2.121 -0.009  2.336  0.797  0.008  0.009  0.001 -0.01  -0.001 -0.001 -0.004]
12,False,False,False,14.910211679672754,[-0.016  0.234  0.016 -2.121 -0.009  2.336  0.797  0.003  0.014  0.003 -0.009 -0.009 -0.008 -0.009]
13,False,False,False,10.004681148954251,[-0.015  0.234  0.016 -2.122 -0.009  2.336  0.796  0.001  0.013  0.    -0.009 -0.012 -0.001 -0.014]
14,False,False,False,15.970192701040897,[-0.015  0.235  0.016 -2.122 -0.009  2.335  0.796  0.003  0.012  0.005 -0.015 -0.002 -0.005 -0.003]
15,False,False,False,20.907327824787142,[-0.015  0.235  0.016 -2.123 -0.01   2.335  0.796  0.006  0.015  0.002 -0.013 -0.014 -0.008 -0.015]
16,False,False,False,16.91143520035019,[-0.015  0.236  0.016 -2.123 -0.01   2.335  0.795  0.007  0.015  0.    -0.014 -0.008 -0.002 -0.009]
