t,success,grasped,has_collided,joint_jerks,proprioception,trial time
0,False,False,False,1.375870800165538,[-0.043  0.236  0.045 -2.109 -0.018  2.323  0.816  0.001  0.001 -0.001 -0.001  0.    -0.    -0.   ],
1,False,False,False,2.63689164664882,[-0.043  0.236  0.045 -2.109 -0.018  2.323  0.816  0.001  0.004 -0.     0.    -0.    -0.     0.001],
2,False,False,False,4.598408163671852,[-0.043  0.236  0.045 -2.109 -0.018  2.323  0.816  0.    -0.     0.     0.    -0.     0.     0.001],
3,False,False,False,10.854788510482344,[-0.043  0.236  0.045 -2.109 -0.018  2.323  0.816 -0.001  0.011 -0.006  0.001 -0.004  0.     0.001],
4,False,False,False,11.85779865754043,[-0.043  0.236  0.044 -2.109 -0.018  2.323  0.816 -0.008  0.011 -0.014 -0.009 -0.001  0.    -0.004],
5,False,False,False,10.838302179026192,[-0.043  0.237  0.044 -2.11  -0.018  2.323  0.816 -0.011  0.015 -0.01  -0.009 -0.002  0.    -0.007],
6,False,False,False,9.811822536140076,[-0.044  0.238  0.043 -2.11  -0.019  2.323  0.816 -0.008  0.017 -0.017 -0.008 -0.008 -0.005 -0.002],
7,False,False,False,10.191985838815881,[-0.044  0.239  0.043 -2.11  -0.019  2.323  0.815 -0.013  0.029 -0.016 -0.004 -0.011 -0.007 -0.003],
8,False,False,False,9.256292371119134,[-0.045  0.24   0.042 -2.111 -0.02   2.322  0.815 -0.02   0.03  -0.015 -0.007 -0.014 -0.015 -0.007],
9,False,False,False,14.5011051714702,[-0.046  0.241  0.041 -2.111 -0.02   2.322  0.815 -0.019  0.038 -0.023 -0.005 -0.019 -0.005 -0.006],
10,False,False,False,14.278222855297177,[-0.046  0.243  0.04  -2.112 -0.021  2.322  0.815 -0.022  0.038 -0.021 -0.014 -0.017 -0.005 -0.011],
11,False,False,False,11.096251660358831,[-0.047  0.245  0.039 -2.112 -0.022  2.321  0.815 -0.02   0.039 -0.025 -0.012 -0.023 -0.002 -0.012],
12,False,False,False,9.316271145519929,[-0.048  0.246  0.039 -2.113 -0.023  2.321  0.815 -0.017  0.041 -0.027 -0.012 -0.023 -0.008 -0.005],
13,False,False,False,6.208515368137354,[-0.049  0.248  0.038 -2.113 -0.023  2.321  0.814 -0.02   0.043 -0.022 -0.011 -0.021 -0.013 -0.   ],
14,False,False,False,5.75820293755502,[-0.049  0.248  0.038 -2.113 -0.023  2.321  0.814 -0.02   0.043 -0.022 -0.011 -0.021 -0.013 -0.   ],
15,False,False,False,12.75719746332633,[-0.051  0.252  0.035 -2.114 -0.025  2.32   0.814 -0.023  0.053 -0.029 -0.019 -0.022 -0.004 -0.012],
16,False,False,False,18.363882914816752,[-0.052  0.254  0.034 -2.115 -0.026  2.32   0.814 -0.021  0.056 -0.033 -0.016 -0.021 -0.011 -0.004],
17,False,False,False,14.52186975337011,[-0.052  0.256  0.033 -2.116 -0.027  2.319  0.813 -0.026  0.053 -0.03  -0.021 -0.026 -0.013 -0.011],
18,False,False,False,12.20894652707623,[-0.053  0.258  0.032 -2.117 -0.028  2.319  0.813 -0.024  0.055 -0.03  -0.024 -0.026 -0.008 -0.004],
19,False,False,False,8.198600061642932,[-0.054  0.26   0.031 -2.118 -0.029  2.318  0.813 -0.021  0.053 -0.028 -0.025 -0.024 -0.009 -0.007],
20,False,False,False,12.148226829673845,[-0.055  0.262  0.029 -2.118 -0.03   2.318  0.813 -0.026  0.052 -0.037 -0.024 -0.029 -0.013  0.   ],
21,False,False,False,14.326261725596533,[-0.056  0.264  0.028 -2.119 -0.031  2.317  0.812 -0.025  0.057 -0.033 -0.021 -0.02  -0.015 -0.002],
22,False,False,False,10.480546537994723,[-0.057  0.267  0.027 -2.12  -0.032  2.317  0.812 -0.017  0.061 -0.028 -0.022 -0.025 -0.013 -0.001],
